trial_index,arm_name,trial_status,generation_method,branin,currin,is_feasible,x0,x1
0,0_0,COMPLETED,Sobol,-104.82992553710938,-13.32152271270752,False,0.15718616545200348,0.06302741169929504
1,1_0,COMPLETED,Sobol,-67.45026397705078,-6.262701511383057,False,0.7955103516578674,0.5488197281956673
2,2_0,COMPLETED,Sobol,-44.699283599853516,-11.003669738769531,False,0.1629044758155942,0.291875870898366
3,3_0,COMPLETED,Sobol,-10.633623123168945,-8.563358306884766,False,0.8958872864022851,0.2802581526339054
4,4_0,COMPLETED,Sobol,-2.309751510620117,-10.189128875732422,False,0.5113766193389893,0.2401217957958579
5,5_0,COMPLETED,MOO,-191.90228271484375,-4.2528157234191895,False,0.7976502317475399,0.9592990626374585
6,6_0,COMPLETED,MOO,-31.09514045715332,-5.98805046081543,False,0.23450613954391536,0.8761958246228461
7,7_0,COMPLETED,MOO,-121.47198486328125,-4.946413040161133,False,0.3896113718264284,1.0
8,8_0,COMPLETED,MOO,-17.508296966552734,-1.180408000946045,True,0.0,1.0
9,9_0,COMPLETED,MOO,-52.43588638305664,-6.313509941101074,False,0.3987860086653398,0.7102040391811706
10,10_0,COMPLETED,MOO,-68.18464660644531,-5.815774440765381,False,0.4820074970180656,0.7398212326875919
11,11_0,COMPLETED,MOO,-27.5277042388916,-1.2901875972747803,False,0.0,0.8893179105398158
12,12_0,COMPLETED,MOO,-21.664142608642578,-1.2311259508132935,False,0.0,0.9464874228827933
13,13_0,COMPLETED,MOO,-36.93791198730469,-1.3722569942474365,False,0.0,0.8177713490951252
14,14_0,COMPLETED,MOO,-4.00965690612793,-3.6614270210266113,True,0.06722595104412638,1.0
15,15_0,COMPLETED,MOO,-8.899821281433105,-2.450594663619995,True,0.03180193896164709,1.0
16,16_0,COMPLETED,MOO,-0.47779369354248047,-5.503173351287842,True,0.11623283268391146,0.8282747946292564
17,17_0,COMPLETED,MOO,-12.974955558776855,-1.7927970886230469,True,0.015048417956364869,1.0
18,18_0,COMPLETED,MOO,-1.6410369873046875,-4.5677266120910645,True,0.09103888011045247,0.9205178128625962
19,19_0,COMPLETED,MOO,-6.134182453155518,-3.011183977127075,True,0.047142348285469204,1.0
20,20_0,COMPLETED,MOO,-10.882354736328125,-2.113800525665283,True,0.023106465771415844,1.0
21,21_0,COMPLETED,MOO,-2.7341222763061523,-4.092294692993164,True,0.07751938884859294,0.9555795698999422
22,22_0,COMPLETED,MOO,-15.19325065612793,-1.4809924364089966,True,0.007355481512615939,1.0
23,23_0,COMPLETED,MOO,-7.467899799346924,-2.7226967811584473,True,0.03908359193452967,1.0
24,24_0,COMPLETED,MOO,-4.964198589324951,-3.3161087036132812,True,0.056162120588825436,1.0
25,25_0,COMPLETED,MOO,-0.8956365585327148,-5.012758731842041,True,0.10471571056236206,0.886549012428079
26,26_0,COMPLETED,MOO,-34.85376739501953,-5.863935947418213,False,1.0,0.5826490710274662
27,27_0,COMPLETED,MOO,-145.87220764160156,-4.005315780639648,False,1.0,1.0
28,28_0,COMPLETED,MOO,-10.960893630981445,-10.179487228393555,False,1.0,0.0
29,29_0,COMPLETED,MOO,-3.352156639099121,-3.8589537143707275,True,0.07091388609793212,0.9697664369522259
30,30_0,COMPLETED,MOO,-2.167757987976074,-4.3236260414123535,True,0.08370617296891533,0.9365945604264692
31,31_0,COMPLETED,MOO,-9.876631736755371,-2.2799072265625,True,0.027357843825467926,1.0
32,32_0,COMPLETED,MOO,-14.072361946105957,-1.635321021080017,True,0.011151095456090072,1.0
33,33_0,COMPLETED,MOO,-5.531428813934326,-3.1595189571380615,True,0.05145632374008478,1.0
34,34_0,COMPLETED,MOO,-4.433777809143066,-3.484995126724243,True,0.06107277738350422,0.9956949185623516
35,35_0,COMPLETED,MOO,-1.2355241775512695,-4.782041072845459,True,0.09648215343546504,0.8985448669959295
36,36_0,COMPLETED,MOO,-0.6255817413330078,-5.232783794403076,True,0.10958535915301539,0.8588446971129297
37,37_0,COMPLETED,MOO,-6.78764533996582,-2.864382266998291,True,0.04299190549604983,1.0
38,38_0,COMPLETED,MOO,-3.6760921478271484,-3.743307590484619,True,0.06779941107944121,0.9774980693027313
39,39_0,COMPLETED,MOO,-11.916280746459961,-1.9514724016189575,True,0.01900925253683429,1.0
40,40_0,COMPLETED,MOO,-0.41707801818847656,-5.585181713104248,True,0.12174627149495364,0.8314499206704036
41,41_0,COMPLETED,MOO,-16.33909797668457,-1.329344391822815,True,0.0036408837664809826,1.0
42,42_0,COMPLETED,MOO,-8.17336654663086,-2.5848639011383057,True,0.0353615561485768,1.0
43,43_0,COMPLETED,MOO,-3.0389556884765625,-3.9745893478393555,True,0.07398984357302966,0.9612420668949202
44,44_0,COMPLETED,MOO,-2.4474034309387207,-4.206155300140381,True,0.08035235521777204,0.9446983365729427
45,45_0,COMPLETED,MOO,-9.38446044921875,-2.364630699157715,True,0.029553275886536726,1.0
46,46_0,COMPLETED,MOO,-5.242917060852051,-3.2365901470184326,True,0.05375151648258906,1.0
47,47_0,COMPLETED,MOO,-1.8972387313842773,-4.443857192993164,True,0.0870427884724268,0.9270846572813902
48,48_0,COMPLETED,MOO,-4.171228885650635,-3.5728039741516113,True,0.0633160748743348,0.9892348693501222
49,49_0,COMPLETED,MOO,-6.457551956176758,-2.937014579772949,True,0.04503165869846433,1.0
